id,text,category,urgency,urgency_score,ward,status,duplicate_of
1.0,Garbage has not been collected from our street for the past 5 days. The smell is unbearable and flies are everywhere.,Sanitation,HIGH,3.0,Koramangala,Open,
2.0,There is an overflowing dustbin near the bus stop on 80 Feet Road. Waste is spilling onto the footpath.,Sanitation,HIGH,3.0,Indiranagar,Open,
3.0,Dead dog lying near the drainage area on 3rd Cross. No one has come to remove it for 2 days. Serious health risk.,Sanitation,HIGH,3.0,HSR Layout,Escalated,
4.0,Sanitation workers have skipped our apartment complex three times this week. Wet waste is piling up at the gate.,Sanitation,MEDIUM,2.0,Whitefield,In Progress,
5.0,Construction debris dumped illegally on the footpath of 5th Main. Blocking pedestrian movement.,Sanitation,MEDIUM,2.0,Rajajinagar,Open,
6.0,The public toilet near the vegetable market is in an extremely unhygienic condition. No cleaning done for weeks.,Sanitation,HIGH,3.0,Jayanagar,Open,
7.0,Garbage truck is not following the schedule. They only come twice a week but earlier it was daily.,Sanitation,LOW,1.0,BTM Layout,Open,
8.0,Large pile of domestic waste dumped near the park entrance. Children play here and this is a serious health concern.,Sanitation,HIGH,3.0,JP Nagar,Escalated,
9.0,Dry waste bins on our lane have not been emptied in over a week. The bins are overflowing.,Sanitation,MEDIUM,2.0,Malleshwaram,Open,
10.0,Pourakarmikas in our ward are not wearing protective gloves or masks. Please ensure proper safety equipment is provided.,Sanitation,LOW,1.0,Basavanagudi,Open,
11.0,Hospital waste found mixed with regular garbage near our colony gate. This is a biohazard.,Sanitation,HIGH,3.0,Hennur,Escalated,
12.0,Garbage van does not come on Sundays. Waste accumulated from Saturday is a problem.,Sanitation,LOW,1.0,Yelahanka,Open,
13.0,Stray animals are spreading garbage from overflowing bins on our main road.,Sanitation,MEDIUM,2.0,Electronic City,Open,
14.0,The drainage channel near the school is blocked with plastic waste. Water is stagnating.,Sanitation,HIGH,3.0,Vijayanagar,Open,
15.0,Our area garbage collection has shifted to midnight which is very inconvenient for residents.,Sanitation,LOW,1.0,Banashankari,Open,
16.0,Open burning of garbage spotted near the lake area. Smoke is affecting nearby residents.,Sanitation,HIGH,3.0,Bellandur,Escalated,
17.0,Wet waste collected but dry waste left behind. BBMP must collect both on same day.,Sanitation,MEDIUM,2.0,Marathahalli,Open,
18.0,No garbage collection for 3 consecutive days during the festival week. Huge pile at junction.,Sanitation,HIGH,3.0,Shivajinagar,Open,
19.0,Compost bin provided by BBMP is broken. Need replacement.,Sanitation,LOW,1.0,Sadashivanagar,Open,
20.0,Workers dumping garbage collected from one area into a empty plot nearby. Please investigate.,Sanitation,MEDIUM,2.0,Nagarbhavi,Open,
21.0,No public bins on the entire stretch of our street near the market. People litter everywhere.,Sanitation,MEDIUM,2.0,Chickpet,Open,
22.0,Sanitation vehicle does not cover the interior lanes of our layout. Only main road gets cleaned.,Sanitation,MEDIUM,2.0,Kengeri,Open,
23.0,Garbage collector is demanding money to pick up extra bags. This is corruption.,Sanitation,HIGH,3.0,Peenya,Escalated,
24.0,Broken sewage pipe near bus stand is releasing foul smell and sewage on the road.,Sanitation,HIGH,3.0,Hebbal,Open,
25.0,Bio-medical waste from nearby clinic dumped in open area near our flats.,Sanitation,HIGH,3.0,Bommanahalli,Escalated,
26.0,No water supply in our area for the past 3 days. Tanks are empty. We have senior citizens who are struggling.,Water Supply,HIGH,3.0,Jayanagar,Open,
27.0,Water supplied by BWSSB is yellowish and has a bad smell. Not safe for drinking or cooking.,Water Supply,HIGH,3.0,Koramangala,Escalated,
28.0,Water pressure is too low. Water doesn't reach above ground floor in our building.,Water Supply,MEDIUM,2.0,Indiranagar,Open,
29.0,Water meter showing wrong readings. Our bill is 3 times the usual amount this month.,Water Supply,MEDIUM,2.0,HSR Layout,Open,
30.0,Pipe burst on 7th Cross causing huge water loss. Water has been flowing for 2 days without repair.,Water Supply,HIGH,3.0,BTM Layout,Escalated,
31.0,Water supply timing has changed without notice. We are getting water at 3am which is not practical.,Water Supply,MEDIUM,2.0,Whitefield,Open,
32.0,Underground water pipe leaking near the school gate. Road is waterlogged and slippery.,Water Supply,HIGH,3.0,JP Nagar,Open,
33.0,Our street is not included in the piped water supply network. We rely fully on private tankers.,Water Supply,MEDIUM,2.0,Yelahanka,Open,
34.0,Water supply disrupted due to pipeline maintenance. No alternate arrangement or advance notice given.,Water Supply,MEDIUM,2.0,Malleshwaram,Open,
35.0,Tanker water supplied to our colony has mud and sand particles. Not fit for any use.,Water Supply,HIGH,3.0,Hennur,Escalated,
36.0,Water connection applied 4 months ago. Still no response from BWSSB. Need status update.,Water Supply,LOW,1.0,Rajajinagar,Open,
37.0,Borewell in our area dried up. No piped water either. Community facing acute water shortage.,Water Supply,HIGH,3.0,Electronic City,Escalated,
38.0,Water tap in public area left open. Precious water wasting for hours. No response to calls.,Water Supply,MEDIUM,2.0,Basavanagudi,Open,
39.0,BWSSB tanker promised but not delivered for 2 days. Residents bought expensive private tankers.,Water Supply,HIGH,3.0,Bellandur,Open,
40.0,Water connection disconnected without prior notice or reason. Please restore immediately.,Water Supply,HIGH,3.0,Banashankari,Open,
41.0,Sump in our layout overflowing due to valve fault in BWSSB main line. Causing road damage.,Water Supply,MEDIUM,2.0,Vijayanagar,Open,
42.0,Water supply only 30 minutes per day. Insufficient for a building of 50 flats.,Water Supply,MEDIUM,2.0,Marathahalli,Open,
43.0,Sewage mixing with drinking water pipeline near old BWSSB junction box. Urgent health risk.,Water Supply,HIGH,3.0,Shivajinagar,Escalated,
44.0,New connection taking more than 3 months. Online portal shows no update. Repeated visits to office useless.,Water Supply,LOW,1.0,Sadashivanagar,Open,
45.0,Water quality worse after the recent pipeline work. Smells like chlorine is too high.,Water Supply,MEDIUM,2.0,Nagarbhavi,Open,
46.0,No water for 5 consecutive days. Elderly and sick residents severely affected.,Water Supply,HIGH,3.0,Peenya,Escalated,
47.0,BWSSB worker asked for bribe to process new connection faster. Refusing to proceed without payment.,Water Supply,HIGH,3.0,Chickpet,Escalated,
48.0,Water flowing through broken footpath constantly. Waste of water and creating a trip hazard.,Water Supply,MEDIUM,2.0,Kengeri,Open,
49.0,Supply restored after complaint but again stopped after 2 days. Problem is recurring.,Water Supply,HIGH,3.0,Hebbal,Open,
50.0,New apartment complex nearby tapping into our building's BWSSB line illegally.,Water Supply,HIGH,3.0,Bommanahalli,Escalated,
51.0,Large pothole on the main road near the school causing accidents daily. A two-wheeler fell yesterday.,Roads,HIGH,3.0,Koramangala,Escalated,
